School,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36
Carrboro Elementary,462,444,430,413,409,398,395,395,392,390,388
Ephesus Elementary,343,375,387,394,405,417,421,420,422,422,423
Estes Hills Elementary,324,353,362,376,375,389,397,398,400,401,403
FPG Elementary,499,491,505,503,499,498,496,495,492,489,487
Glenwood Elementary,394,387,385,384,396,421,421,420,419,418,418
McDougle Elementary,469,487,495,491,510,511,505,501,499,496,495
Morris Grove Elementary,371,364,357,346,362,356,359,362,366,368,371
Northside Elementary,335,316,313,306,298,291,290,289,289,289,289
Rashkis Elementary,367,336,321,298,283,253,253,253,254,255,256
Scroggs Elementary,366,347,333,314,311,307,309,312,315,314,314
Seawell Elementary,364,354,344,335,343,336,341,344,343,341,340
Elementary Total,4294,4254,4232,4160,4191,4177,4187,4189,4191,4183,4184
