School,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36
Carrboro Elementary,0.0,-3.9,-6.9,-10.6,-11.5,-13.9,-14.5,-14.5,-15.2,-15.6,-16.0
Ephesus Elementary,0.0,9.3,12.8,14.9,18.1,21.6,22.7,22.4,23.0,23.0,23.3
Estes Hills Elementary,0.0,9.0,11.7,16.0,15.7,20.1,22.5,22.8,23.5,23.8,24.4
FPG Elementary,0.0,-1.6,1.2,0.8,0.0,-0.2,-0.6,-0.8,-1.4,-2.0,-2.4
Glenwood Elementary,0.0,-1.8,-2.3,-2.5,0.5,6.9,6.9,6.6,6.3,6.1,6.1
McDougle Elementary,0.0,3.8,5.5,4.7,8.7,9.0,7.7,6.8,6.4,5.8,5.5
Morris Grove Elementary,0.0,-1.9,-3.8,-6.7,-2.4,-4.0,-3.2,-2.4,-1.3,-0.8,0.0
Northside Elementary,0.0,-5.7,-6.6,-8.7,-11.0,-13.1,-13.4,-13.7,-13.7,-13.7,-13.7
Rashkis Elementary,0.0,-8.4,-12.5,-18.8,-22.9,-31.1,-31.1,-31.1,-30.8,-30.5,-30.2
Scroggs Elementary,0.0,-5.2,-9.0,-14.2,-15.0,-16.1,-15.6,-14.8,-13.9,-14.2,-14.2
Seawell Elementary,0.0,-2.7,-5.5,-8.0,-5.8,-7.7,-6.3,-5.5,-5.8,-6.3,-6.6
Elementary Total,0.0,-0.9,-1.4,-3.1,-2.4,-2.7,-2.5,-2.4,-2.4,-2.6,-2.6
