zone_type,school,total_pop,race_total,white_nh,black_nh,hispanic,asian_nh,two_plus_nh,median_hh_income,median_hh_income_avg,pct_minority,pct_elementary_age,pct_young_children,below_185_pov,poverty_universe,pct_below_185_poverty,vehicles_zero,vehicles_total_hh,pct_zero_vehicle,tenure_renter,tenure_total,pct_renter,male_under_5,female_under_5,male_5_9,female_5_9,pct_black,pct_hispanic
School Zones,Carrboro Elementary,12450,12450,8839,806,808,837,821,57083.0,68071.28994133152,26.1,3.3,2.6,3839,9400,40.8,481,4430,10.9,2881,4430,65.0,160,161,203,204,6.5,6.5
School Zones,Ephesus Elementary,8479,8479,4730,883,641,1263,663,86447.0,112192.26358485706,41.6,4.3,5.8,1555,8156,19.1,64,3246,2.0,1455,3246,44.8,245,245,183,184,10.4,7.6
School Zones,Estes Hills Elementary,9981,9981,6179,677,792,1172,769,86150.0,126694.96473299268,36.0,3.3,3.8,1415,8218,17.2,341,3685,9.3,1812,3685,49.2,189,189,166,167,6.8,7.9
School Zones,Frank Porter Graham Bilingue,0,0,0,0,0,0,0,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
School Zones,Glenwood Elementary,2901,2901,1842,288,179,326,174,55673.0,63801.62082040676,34.3,2.5,2.0,227,1483,15.3,15,599,2.5,231,599,38.6,28,29,36,36,9.9,6.2
School Zones,McDougle Elementary,10085,10085,6061,899,1142,507,861,105179.0,125634.51482399604,35.1,5.7,5.7,1566,9921,15.8,140,4175,3.3,1364,4175,32.7,285,285,286,287,8.9,11.3
School Zones,Morris Grove Elementary,7078,7078,3993,526,705,865,635,137917.0,148722.3155239624,41.0,4.9,3.8,1343,9505,14.1,86,3533,2.4,763,3533,21.6,133,133,173,173,7.4,10.0
School Zones,Northside Elementary,21243,21243,12884,2004,1686,2284,1627,63125.0,84499.07365698583,36.7,4.4,2.3,6863,18449,37.2,529,7277,7.3,3844,7277,52.8,245,245,469,469,9.4,7.9
School Zones,Rashkis Elementary,8244,8244,4059,812,774,1550,626,86447.0,86332.66072295002,48.3,4.6,4.1,1351,6721,20.1,208,3269,6.3,2017,3269,61.7,169,169,191,192,9.8,9.4
School Zones,Scroggs Elementary,13852,13852,7383,1481,1371,1867,1038,54934.0,84781.0744680851,43.9,3.5,3.1,1352,6568,20.6,185,2785,6.7,1308,2785,47.0,218,218,242,242,10.7,9.9
School Zones,Seawell Elementary,5537,5537,2804,540,441,994,512,92250.0,113642.54210119737,46.4,4.5,2.7,960,4042,23.8,99,1766,5.6,1003,1766,56.8,74,75,125,125,9.8,8.0
