school,total_pop,male_under_5,female_under_5,male_5_9,female_5_9,race_total,white_nh,black_nh,asian_nh,hispanic,aian_nh,nhpi_nh,other_nh,two_plus_nh,poverty_universe,below_185_pov,tenure_total,tenure_owner,tenure_renter,vehicles_total_hh,vehicles_zero,income_total,hh_below_50k,families_with_kids,single_parent_with_kids,income_lt_10k,income_10k_15k,income_15k_20k,income_20k_25k,income_25k_30k,income_30k_35k,income_35k_40k,income_40k_45k,income_45k_50k,income_50k_60k,income_60k_75k,income_75k_100k,income_100k_125k,income_125k_150k,income_150k_200k,income_200k_plus,median_hh_income,pct_minority,pct_black,pct_hispanic,pct_below_185_poverty,pct_renter,pct_zero_vehicle,pct_low_income,pct_single_parent,pct_elementary_age,pct_young_children,ah_total_units,mls_total_sales,mls_median_price,mls_median_ppsf,dev_total_units,dev_count,sapfotac_total_units,sapfotac_count,sapfotac_elem_students
Carrboro Elementary,12238,228.82618851687639,42.181976229308624,150.2551846449737,172.50957427217094,12237.667218044819,9045.136753402912,1243.018324366133,1020.2109363598453,611.1980243435564,0.003981623698260858,0.0,64.50772391210555,253.59147403656812,8965.589403311737,3678.4987374633665,4260.460711907198,1435.4047808956163,2825.055931011582,4260.460711907198,470.4004692583944,4260.460711907198,1815.1584920614703,533.3677256000259,195.84274287592626,555.4337877655472,100.17652746743289,225.66940741529532,178.78184435006438,103.32015243699576,103.87554932170856,169.04074275584276,283.89713983105077,94.96334071753265,228.37557597668075,393.7217446064338,421.8693432966317,274.33946537401874,258.41548607882413,265.8995462229755,602.6810582901634,66086,26.1,10.2,5.0,41.0,66.3,11.0,42.6,36.7,2.6,2.2,78,237,599999.0,345.41,850,2,420,3,51
Ephesus Elementary,8044,266.84259991230863,187.7756781632281,185.75441344102063,181.25258596155658,8043.937410593602,4309.47052001624,1073.6831830566512,853.787353450355,1241.0573268781675,2.985157468335525,0.0005098585595925368,24.266385883191866,538.6869739821021,7998.698706926326,1504.6542100506508,3149.663968303331,1782.463461785339,1367.2005065179917,3149.663968303331,54.650204352093034,3149.663968303331,883.6457602438322,983.5035983047412,291.1237136857199,206.2948884278931,67.02758815959999,50.74603701802324,97.17405269361561,39.67743436237768,37.21285343606546,159.72974766635448,99.10120015388972,126.68195832601313,132.53714938704306,271.03610084465964,306.128923036379,226.71949391771093,220.0269391500188,374.41684146105143,735.1527602626356,112784,46.4,13.3,15.4,18.8,43.4,1.7,28.1,29.6,4.6,5.7,202,262,480000.0,268.78,997,5,1171,5,149
Estes Hills Elementary,8393,83.77546809504841,200.5628233803593,154.3150181527619,126.98269418242626,8392.997365157009,5545.445358362525,479.51072625846075,863.3750156030668,799.1094163776937,13.955016649717845,11.235331714770464,59.38533721998404,620.98116297079,8271.588654166968,1415.6182366331498,3706.7689260499706,1870.7139756378172,1836.0549504121534,3706.7689260499706,335.5439944401342,3706.7689260499706,820.1081136929887,850.865932056747,113.83642623128584,160.33666866050734,14.90421814977057,134.6160666381453,73.76705068390645,87.12452479063951,59.389749963437296,79.64635604687437,152.35859046239582,57.96488829731197,305.0341496789405,333.4481300376714,332.2809085801572,244.5091291065226,188.49148281946648,349.8906971996668,1133.0063149345572,124822,33.9,5.7,9.5,17.1,49.5,9.1,22.1,13.4,3.4,3.4,109,242,750000.0,288.79999999999995,1553,4,525,2,73
Glenwood Elementary,2320,4.575180001838057,61.2835518327726,28.734508656447638,5.393295460125797,2320.064932546964,1523.6417835038892,236.1453855646763,246.63283473643259,216.49687799475632,66.1602559998381,0.0,4.009338499552614,26.97845624781893,1383.3560548159105,197.49430970185867,545.0515357525704,356.28690372356135,188.76463202900908,545.0515357525704,10.911768384060057,545.0515357525704,91.24973677253774,126.96375706811826,7.300754260929057,19.909672076062837,2.4771212957979563,8.945802344167411,3.107570272540408,4.216115630157265,29.673298344797235,5.294199293599913,11.010388979515316,6.615568535899415,21.61406258938892,82.18851795043459,56.66588052481545,53.098488184820084,47.92625599484071,24.188764399897,168.1198293358359,82814,34.3,10.2,9.3,14.3,34.6,2.0,16.7,5.8,1.5,2.8,128,60,475000.0,392.69,1391,1,0,0,0
McDougle Elementary,9946,263.98265497590023,303.33811920854805,217.01855334785802,335.86893519032265,9945.956141099752,6477.1953907133175,850.2144175962849,490.73625582283745,1646.5047347677096,7.1083892747888395,0.0,32.048076560929076,442.14887636388397,9910.827800168692,1560.2955108465917,4168.460891538991,2807.3723516394953,1361.0885398994958,4168.460891538991,136.64335415279842,4168.460891538991,1221.8531884867293,1322.0499580911337,225.60639222967907,161.90590579363155,93.73966802616867,105.88199070424798,119.42471727542046,122.22331700068305,74.84327235801376,178.2784064181155,237.10514054694715,128.45077036350128,235.53228932126157,347.3381674472747,319.598700461729,367.48104751335177,266.66544855825964,299.17821612743757,1110.8138336229472,120899,34.9,8.5,16.6,15.7,32.7,3.3,29.3,17.1,5.6,5.7,0,203,655000.0,297.14,0,0,36,1,11
Morris Grove Elementary,9443,179.3641476100858,156.25682097524128,284.7953586885844,182.48977491690658,9443.114456081194,5456.7911147047935,1000.5961224365957,1334.3346956805765,1007.8393427658381,46.410695327254636,13.537670306918587,92.25315734476555,491.35165751445186,9440.417174156883,1326.9462426923667,3507.981992304905,2762.2198719407297,745.7621203641752,3507.981992304905,86.76148646942258,3507.981992304905,683.7304351079703,1235.3956590901246,197.84061405737336,105.49028789309628,156.67370494453115,47.9418713997171,78.8779383943754,85.92063828220687,66.11599639515819,77.69849699967746,36.56412536321907,28.447375435988754,58.20820193893034,374.5874549658209,401.87364620732365,456.8051253845362,153.80407362242508,286.7878179367604,1092.185237141138,136845,42.2,10.6,10.7,14.1,21.3,2.5,19.5,16.0,4.9,3.6,93,155,800000.0,284.35,350,1,72,1,19
Northside Elementary,18377,301.1459599455193,201.99347700803375,372.2325271632654,490.17462960572675,18376.510170873407,11441.210557832786,2634.790352500424,1904.6478055716657,1590.8848068964219,69.69629409116017,1.848813090574577,28.125775012367317,705.3057658780101,17516.312870345464,6783.808965506666,6846.38620178551,3105.613013067761,3740.7731887177497,6846.38620178551,465.83225585372986,6846.38620178551,2708.560419396752,1368.9610100580396,262.9473721752078,766.4179860527815,196.7839890949741,387.1660287485284,288.3322908839413,280.89753493201346,140.74563675776747,293.2329163120389,158.99673098720444,195.9873056275024,450.9698018499405,521.907918945761,700.7295598574967,424.24691798692953,295.5938058370438,421.94743624921,1322.4303416623766,79300,37.7,14.3,8.7,38.7,54.6,6.8,39.6,19.2,4.7,2.7,300,445,642500.0,277.07,658,7,102,2,12
Rashkis Elementary,8076,228.5578951702445,91.83813521974733,220.45261872491622,184.8548676660315,8075.706170706728,4987.639975372618,1043.3484573716992,1047.290691443011,689.6027000128901,2.937628480723875,0.0,41.70771604705932,263.1790019787248,7998.027153559614,1547.8980209310666,3885.0844990853398,1614.6455809282245,2270.438918157116,3885.0844990853398,289.4077140384394,3885.0844990853398,1332.4419695617053,727.79670835087,114.41938590054994,385.5961937984198,70.3141783039062,160.19042156356792,60.95532155451127,79.69159343952234,257.0455668538144,160.58399440816916,60.047629144560105,98.01707049523407,263.46580238222356,318.95591103923067,428.9448260686486,262.719161121324,283.4962588923193,353.6579394868617,641.4026305330271,91823,38.2,12.9,8.5,19.4,58.4,7.4,34.3,15.7,5.0,4.0,116,228,389750.0,275.46000000000004,198,4,274,1,30
Scroggs Elementary,12209,96.88058834600785,262.6387002158658,194.62879782734223,170.41400925452265,12209.419205475977,7206.537163108636,1534.7275119473818,1805.3988129462089,1246.983217409992,55.007165551332534,0.0,57.93830182478544,302.82703268764,6554.216212011886,1347.6875997114287,2776.870611492676,1480.903501685576,1295.9671098070996,2776.870611492676,185.8076989591077,2776.870611492676,735.4192027020184,722.7091970355642,100.48742138215647,79.31819049551746,115.31924657601445,41.33947598795207,63.94305889867091,68.40438854944313,129.6694886465334,102.55883773949188,93.95360887044878,40.91290693794642,169.0908724807387,141.78615617381226,305.0659887325303,248.57299577326557,197.20608549504877,244.96491758694498,734.764392548317,83555,41.0,12.6,10.2,20.6,46.7,6.7,26.5,13.9,3.0,2.9,68,147,745000.0,332.06,0,0,0,0,0
Seawell Elementary,4423,57.0441109161011,53.06367131259353,114.72588946757568,97.93384241381958,4423.004328812649,2608.0961310391986,614.5952352434655,653.5656542303212,310.1162153245133,10.735415526254336,0.3776750291767652,43.64660284705946,181.8713995726598,4422.343397510507,1108.9165687627003,1917.9453852078416,871.1713016387382,1046.7740835691034,1917.9453852078416,112.02646774030359,1917.9453852078416,477.6594537563426,538.0758818349416,229.5095769970547,143.25229488169214,47.56174654277864,70.48974824642718,84.63582413343214,3.5011990888347997,15.404842607285465,47.92115798528967,49.95127782793923,14.941362442663372,67.13867766847943,229.64807436696825,250.66157823828087,189.4667632232697,120.29439977387108,217.9300859609103,365.14635221971935,98608,41.0,13.9,7.0,25.1,54.6,5.8,24.9,42.7,4.8,2.5,73,144,527000.0,260.46,323,5,258,3,49
