school,centers_0.25mi,family_0.25mi,all_0.25mi,centers_0.5mi,family_0.5mi,all_0.5mi,centers_1.0mi,family_1.0mi,all_1.0mi,centers_2.0mi,family_2.0mi,all_2.0mi
Carrboro Elementary,2,0,2,5,0,5,10,0,10,21,1,22
Ephesus Elementary,2,0,2,2,1,3,2,1,3,7,3,10
Estes Hills Elementary,2,0,2,3,0,3,4,1,5,18,5,23
Frank Porter Graham Bilingue,2,0,2,2,0,2,8,1,9,21,1,22
Glenwood Elementary,1,0,1,1,0,1,2,0,2,14,1,15
McDougle Elementary,1,0,1,1,0,1,1,0,1,9,0,9
Morris Grove Elementary,0,0,0,0,0,0,0,0,0,1,0,1
Northside Elementary,0,0,0,3,0,3,17,0,17,24,2,26
Rashkis Elementary,1,0,1,1,0,1,2,0,2,7,2,9
Scroggs Elementary,1,0,1,1,0,1,2,1,3,4,1,5
Seawell Elementary,0,0,0,1,0,1,2,0,2,11,3,14
