scheme,source_zone,destination_magnet,race,count
mae_fit,Carrboro Elementary,FPG Elementary,white_nh,5.843773495588507
mae_fit,Carrboro Elementary,FPG Elementary,black_nh,0.8366081133300186
mae_fit,Carrboro Elementary,FPG Elementary,asian_nh,0.5630251922469189
mae_fit,Carrboro Elementary,FPG Elementary,hispanic,12.898847597901366
mae_fit,Carrboro Elementary,FPG Elementary,aian_nh,1.1080842882950915e-06
mae_fit,Carrboro Elementary,FPG Elementary,other_nh,0.08695619416068104
mae_fit,Carrboro Elementary,FPG Elementary,two_plus_nh,0.16655150123499068
mae_fit,Ephesus Elementary,FPG Elementary,white_nh,6.057402657530003
mae_fit,Ephesus Elementary,FPG Elementary,black_nh,2.0768006276005155
mae_fit,Ephesus Elementary,FPG Elementary,asian_nh,0.9666151826173717
mae_fit,Ephesus Elementary,FPG Elementary,hispanic,75.73461006076688
mae_fit,Ephesus Elementary,FPG Elementary,aian_nh,0.0035157397003126025
mae_fit,Ephesus Elementary,FPG Elementary,nhpi_nh,5.353080807990507e-07
mae_fit,Ephesus Elementary,FPG Elementary,other_nh,0.04077783855589465
mae_fit,Ephesus Elementary,FPG Elementary,two_plus_nh,1.1859218516846874
mae_fit,Estes Hills Elementary,FPG Elementary,white_nh,4.301402441508638
mae_fit,Estes Hills Elementary,FPG Elementary,black_nh,0.5669299600502126
mae_fit,Estes Hills Elementary,FPG Elementary,asian_nh,0.9986064833863717
mae_fit,Estes Hills Elementary,FPG Elementary,hispanic,30.14772919148669
mae_fit,Estes Hills Elementary,FPG Elementary,aian_nh,0.014943294087310328
mae_fit,Estes Hills Elementary,FPG Elementary,nhpi_nh,0.011786870107567331
mae_fit,Estes Hills Elementary,FPG Elementary,other_nh,0.062261840435767477
mae_fit,Estes Hills Elementary,FPG Elementary,two_plus_nh,0.9145067010149455
mae_fit,Glenwood Elementary,FPG Elementary,white_nh,1.215959205622497
mae_fit,Glenwood Elementary,FPG Elementary,black_nh,0.17492383787761107
mae_fit,Glenwood Elementary,FPG Elementary,asian_nh,0.1102372633696614
mae_fit,Glenwood Elementary,FPG Elementary,hispanic,7.169898380136395
mae_fit,Glenwood Elementary,FPG Elementary,aian_nh,0.09496133845183073
mae_fit,Glenwood Elementary,FPG Elementary,other_nh,0.0015687371254542843
mae_fit,Glenwood Elementary,FPG Elementary,two_plus_nh,0.02962369404125961
mae_fit,McDougle Elementary,FPG Elementary,white_nh,9.214060649953481
mae_fit,McDougle Elementary,FPG Elementary,black_nh,1.5921294697967368
mae_fit,McDougle Elementary,FPG Elementary,asian_nh,0.9603881482489126
mae_fit,McDougle Elementary,FPG Elementary,hispanic,90.45217969243068
mae_fit,McDougle Elementary,FPG Elementary,aian_nh,0.0001793295599340178
mae_fit,McDougle Elementary,FPG Elementary,other_nh,0.03656172050955353
mae_fit,McDougle Elementary,FPG Elementary,two_plus_nh,0.971302989986986
mae_fit,Morris Grove Elementary,FPG Elementary,white_nh,5.375600264891908
mae_fit,Morris Grove Elementary,FPG Elementary,black_nh,1.3806724178052296
mae_fit,Morris Grove Elementary,FPG Elementary,asian_nh,1.9011930639067172
mae_fit,Morris Grove Elementary,FPG Elementary,hispanic,42.449395972118594
mae_fit,Morris Grove Elementary,FPG Elementary,aian_nh,0.050817310899290605
mae_fit,Morris Grove Elementary,FPG Elementary,nhpi_nh,0.004750336870157291
mae_fit,Morris Grove Elementary,FPG Elementary,other_nh,0.03835955026719374
mae_fit,Morris Grove Elementary,FPG Elementary,two_plus_nh,0.7056294564396725
mae_fit,Northside Elementary,FPG Elementary,white_nh,9.155561494423107
mae_fit,Northside Elementary,FPG Elementary,black_nh,2.2957456108583436
mae_fit,Northside Elementary,FPG Elementary,asian_nh,1.5286604633704028
mae_fit,Northside Elementary,FPG Elementary,hispanic,66.9370592130018
mae_fit,Northside Elementary,FPG Elementary,aian_nh,0.06108907211055098
