school,lat,lon,raw_500m,raw_norm_500m,rank_raw_500m,canopy_500m,net_500m,net_norm_500m,rank_net_500m,raw_1000m,raw_norm_1000m,rank_raw_1000m,canopy_1000m,net_1000m,net_norm_1000m,rank_net_1000m
Carrboro Elementary,35.9149,-79.0786,6.1955,40.9,3,0.7601,3.5585,36.0,3,11.3271,55.7,3,0.7553,6.5363,52.8,3
Seawell Elementary,35.9404,-79.0789,0.7059,4.7,12,0.8208,0.3815,3.9,12,1.8908,9.3,11,0.8533,0.9873,8.0,12
Ephesus Elementary,35.9335,-79.0162,2.3347,15.4,8,0.8172,1.2663,12.8,8,8.2331,40.5,6,0.7295,4.8695,39.3,4
Estes Hills Elementary,35.9359,-79.0436,3.1516,20.8,7,0.9345,1.5023,15.2,7,4.3695,21.5,10,0.9246,2.1071,17.0,10
Frank Porter Graham Bilingue,35.8997,-79.0725,15.1456,100.0,1,0.7244,9.0015,91.1,2,19.9631,98.1,2,0.8025,10.9922,88.7,2
Glenwood Elementary,35.9063,-79.0266,15.0199,99.2,2,0.6104,9.8857,100.0,1,20.3416,100.0,1,0.6983,12.3876,100.0,1
McDougle Elementary,35.9297,-79.099011,3.6536,24.1,5,0.7264,2.1674,21.9,5,4.9988,24.6,8,0.8041,2.7479,22.2,8
Scroggs Elementary,35.8791,-79.0685,4.8355,31.9,4,0.6592,3.0504,30.9,4,8.9626,44.1,4,0.8315,4.7893,38.7,6
Rashkis Elementary,35.9144,-79.0081,0.9984,6.6,11,0.7112,0.6008,6.1,11,1.7764,8.7,12,0.7723,1.0081,8.1,11
Morris Grove Elementary,35.9665,-79.1023,3.6306,24.0,6,0.9115,1.7773,18.0,6,4.8821,24.0,9,0.9363,2.3223,18.7,9
Northside Elementary,35.917543,-79.063168,1.4163,9.4,10,0.8431,0.7476,7.6,10,7.7287,38.0,7,0.679,4.7898,38.7,5
New FPG Location,35.8898,-79.0675,1.5016,9.9,9,0.8092,0.8212,8.3,9,8.3034,40.8,5,0.8444,4.3769,35.3,7
