edge_idx,scenario,zone,age_group,children
7483,baseline,nearest,0_4,391.24
10975,baseline,nearest,0_4,391.24
5306,baseline,nearest,0_4,391.24
3803,baseline,nearest,0_4,132.81
3805,baseline,nearest,0_4,131.26
5305,baseline,nearest,0_4,130.92
5303,baseline,nearest,0_4,130.28
10200,baseline,nearest,0_4,129.98
10202,baseline,nearest,0_4,129.45
5302,baseline,nearest,0_4,129.26
5300,baseline,nearest,0_4,125.59
12494,baseline,nearest,0_4,125.48
5299,baseline,nearest,0_4,125.34
5298,baseline,nearest,0_4,125.34
5847,baseline,nearest,0_4,113.96
5848,baseline,nearest,0_4,112.88
5851,baseline,nearest,0_4,112.15
14503,baseline,nearest,0_4,111.94
14501,baseline,nearest,0_4,111.94
5854,baseline,nearest,0_4,111.41
5853,baseline,nearest,0_4,103.48
5856,baseline,nearest,0_4,99.48
5857,baseline,nearest,0_4,99.48
3695,baseline,nearest,0_4,98.0
3694,baseline,nearest,0_4,97.06
12883,baseline,nearest,0_4,64.72
12878,baseline,nearest,0_4,64.72
9184,baseline,nearest,0_4,64.72
9183,baseline,nearest,0_4,64.67
5860,baseline,nearest,0_4,64.52
5859,baseline,nearest,0_4,64.52
9181,baseline,nearest,0_4,64.37
9180,baseline,nearest,0_4,64.25
10058,baseline,nearest,0_4,64.25
10056,baseline,nearest,0_4,64.22
5863,baseline,nearest,0_4,64.07
5862,baseline,nearest,0_4,62.59
5866,baseline,nearest,0_4,60.78
5867,baseline,nearest,0_4,59.27
5868,baseline,nearest,0_4,58.68
4360,baseline,nearest,0_4,57.83
4359,baseline,nearest,0_4,52.96
12075,baseline,nearest,0_4,52.15
12074,baseline,nearest,0_4,51.76
12935,baseline,nearest,0_4,47.05
12934,baseline,nearest,0_4,47.05
6622,baseline,nearest,0_4,46.58
6486,baseline,nearest,0_4,42.3
4275,baseline,nearest,0_4,37.85
4276,baseline,nearest,0_4,35.8
3084,baseline,nearest,0_4,33.36
3085,baseline,nearest,0_4,31.5
2942,baseline,nearest,0_4,31.19
2944,baseline,nearest,0_4,28.37
6749,baseline,nearest,0_4,22.74
13516,baseline,nearest,0_4,21.36
13515,baseline,nearest,0_4,19.72
12829,baseline,nearest,0_4,18.85
12828,baseline,nearest,0_4,18.23
5077,baseline,nearest,0_4,17.89
5075,baseline,nearest,0_4,17.44
12269,baseline,nearest,0_4,16.62
5073,baseline,nearest,0_4,15.68
5074,baseline,nearest,0_4,10.45
11772,baseline,nearest,0_4,7.29
11717,baseline,nearest,0_4,7.23
11712,baseline,nearest,0_4,5.91
11714,baseline,nearest,0_4,5.9
11716,baseline,nearest,0_4,3.02
6623,baseline,nearest,0_4,2.8
13075,baseline,nearest,0_4,2.24
12857,baseline,nearest,0_4,0.56
5869,baseline,nearest,0_4,4.56
5872,baseline,nearest,0_4,3.56
12334,baseline,nearest,0_4,0.28
12102,baseline,nearest,0_4,1.56
12101,baseline,nearest,0_4,0.16
12099,baseline,nearest,0_4,0.13
12100,baseline,nearest,0_4,1.38
5874,baseline,nearest,0_4,1.38
12518,baseline,nearest,0_4,1.43
2283,baseline,nearest,0_4,1.01
2281,baseline,nearest,0_4,0.5
2285,baseline,nearest,0_4,0.47
2286,baseline,nearest,0_4,0.24
13583,baseline,nearest,0_4,0.05
6485,baseline,nearest,0_4,1.22
5735,baseline,nearest,0_4,0.06
5307,baseline,nearest,0_4,258.35
3240,baseline,nearest,0_4,258.16
3241,baseline,nearest,0_4,255.78
4795,baseline,nearest,0_4,134.82
4796,baseline,nearest,0_4,116.25
5592,baseline,nearest,0_4,114.2
5591,baseline,nearest,0_4,112.83
6906,baseline,nearest,0_4,23.18
4214,baseline,nearest,0_4,23.09
4215,baseline,nearest,0_4,23.09
4212,baseline,nearest,0_4,23.09
4213,baseline,nearest,0_4,19.96
11994,baseline,nearest,0_4,19.17
11992,baseline,nearest,0_4,19.13
14000,baseline,nearest,0_4,19.11
13999,baseline,nearest,0_4,19.11
12005,baseline,nearest,0_4,19.06
4208,baseline,nearest,0_4,19.05
4209,baseline,nearest,0_4,13.35
12253,baseline,nearest,0_4,13.18
4206,baseline,nearest,0_4,12.95
4207,baseline,nearest,0_4,12.85
4204,baseline,nearest,0_4,12.62
4202,baseline,nearest,0_4,12.09
2730,baseline,nearest,0_4,6.66
2731,baseline,nearest,0_4,5.41
2739,baseline,nearest,0_4,4.93
3021,baseline,nearest,0_4,4.42
3022,baseline,nearest,0_4,4.29
4998,baseline,nearest,0_4,4.2
2284,baseline,nearest,0_4,0.1
2288,baseline,nearest,0_4,0.1
2287,baseline,nearest,0_4,0.1
2290,baseline,nearest,0_4,0.1
2292,baseline,nearest,0_4,0.1
2295,baseline,nearest,0_4,0.1
11918,baseline,nearest,0_4,0.1
2738,baseline,nearest,0_4,0.45
2741,baseline,nearest,0_4,0.36
12063,baseline,nearest,0_4,0.13
4200,baseline,nearest,0_4,5.36
4199,baseline,nearest,0_4,0.73
5329,baseline,nearest,0_4,0.57
4201,baseline,nearest,0_4,4.03
9952,baseline,nearest,0_4,1.79
9951,baseline,nearest,0_4,1.79
9955,baseline,nearest,0_4,1.52
9954,baseline,nearest,0_4,1.1
9961,baseline,nearest,0_4,1.1
9959,baseline,nearest,0_4,0.29
9965,baseline,nearest,0_4,0.29
9968,baseline,nearest,0_4,0.29
9957,baseline,nearest,0_4,2.24
9958,baseline,nearest,0_4,1.87
12495,baseline,nearest,0_4,1.71
4197,baseline,nearest,0_4,1.19
4196,baseline,nearest,0_4,0.8
12931,baseline,nearest,0_4,0.69
11806,baseline,nearest,0_4,0.46
11807,baseline,nearest,0_4,0.28
5802,baseline,nearest,0_4,0.23
5803,baseline,nearest,0_4,0.07
9948,baseline,nearest,0_4,0.05
2282,baseline,nearest,0_4,0.48
12558,baseline,nearest,0_4,0.03
4999,baseline,nearest,0_4,3.9
4996,baseline,nearest,0_4,3.85
4997,baseline,nearest,0_4,0.08
9960,baseline,nearest,0_4,0.81
9972,baseline,nearest,0_4,0.78
5804,baseline,nearest,0_4,0.12
6577,baseline,nearest,0_4,0.06
4210,baseline,nearest,0_4,3.0
11757,baseline,nearest,0_4,2.97
11756,baseline,nearest,0_4,2.86
5688,baseline,nearest,0_4,2.72
5687,baseline,nearest,0_4,2.72
5689,baseline,nearest,0_4,2.64
4471,baseline,nearest,0_4,2.08
4469,baseline,nearest,0_4,2.08
12053,baseline,nearest,0_4,1.88
5032,baseline,nearest,0_4,1.82
5031,baseline,nearest,0_4,1.14
2530,baseline,nearest,0_4,1.06
2529,baseline,nearest,0_4,1.01
5693,baseline,nearest,0_4,0.99
2502,baseline,nearest,0_4,0.83
2501,baseline,nearest,0_4,0.79
5801,baseline,nearest,0_4,0.77
4194,baseline,nearest,0_4,0.43
4195,baseline,nearest,0_4,0.39
4192,baseline,nearest,0_4,0.34
4191,baseline,nearest,0_4,0.34
4189,baseline,nearest,0_4,0.34
12328,baseline,nearest,0_4,0.26
12238,baseline,nearest,0_4,0.18
12239,baseline,nearest,0_4,0.17
4187,baseline,nearest,0_4,0.17
13074,baseline,nearest,0_4,0.28
5870,baseline,nearest,0_4,0.27
3121,baseline,nearest,0_4,0.12
4993,baseline,nearest,0_4,3.75
4994,baseline,nearest,0_4,0.18
4989,baseline,nearest,0_4,0.18
4990,baseline,nearest,0_4,0.03
4991,baseline,nearest,0_4,0.03
5767,baseline,nearest,0_4,0.03
9956,baseline,nearest,0_4,0.41
9971,baseline,nearest,0_4,0.41
11602,baseline,nearest,0_4,0.38
12329,baseline,nearest,0_4,0.08
12327,baseline,nearest,0_4,0.04
4184,baseline,nearest,0_4,0.09
4186,baseline,nearest,0_4,0.04
3915,baseline,nearest,0_4,5.03
3913,baseline,nearest,0_4,5.03
5146,baseline,nearest,0_4,4.23
5147,baseline,nearest,0_4,0.35
9824,baseline,nearest,0_4,0.01
8075,baseline,nearest,0_4,1.41
14199,baseline,nearest,0_4,0.14
13081,baseline,nearest,0_4,0.01
13080,baseline,nearest,0_4,0.01
9974,baseline,nearest,0_4,0.43
9973,baseline,nearest,0_4,0.28
4183,baseline,nearest,0_4,0.02
6474,baseline,nearest,0_4,552.83
1572,baseline,nearest,0_4,382.1
1569,baseline,nearest,0_4,224.57
1571,baseline,nearest,0_4,224.57
2806,baseline,nearest,0_4,220.76
5249,baseline,nearest,0_4,219.58
5251,baseline,nearest,0_4,162.24
1525,baseline,nearest,0_4,160.18
1526,baseline,nearest,0_4,156.87
1531,baseline,nearest,0_4,154.36
6161,baseline,nearest,0_4,145.85
9453,baseline,nearest,0_4,145.31
9447,baseline,nearest,0_4,145.31
9446,baseline,nearest,0_4,145.31
5311,baseline,nearest,0_4,144.04
5310,baseline,nearest,0_4,117.26
6158,baseline,nearest,0_4,110.73
5098,baseline,nearest,0_4,50.31
4404,baseline,nearest,0_4,49.19
1823,baseline,nearest,0_4,40.96
1824,baseline,nearest,0_4,38.94
3133,baseline,nearest,0_4,34.94
3577,baseline,nearest,0_4,34.0
3578,baseline,nearest,0_4,32.96
4121,baseline,nearest,0_4,28.74
9880,baseline,nearest,0_4,28.61
9882,baseline,nearest,0_4,22.66
9883,baseline,nearest,0_4,22.33
2671,baseline,nearest,0_4,20.36
2672,baseline,nearest,0_4,18.98
9884,baseline,nearest,0_4,14.3
6154,baseline,nearest,0_4,13.22
6155,baseline,nearest,0_4,6.59
5182,baseline,nearest,0_4,6.53
5181,baseline,nearest,0_4,6.53
1625,baseline,nearest,0_4,6.39
1624,baseline,nearest,0_4,4.74
4263,baseline,nearest,0_4,2.03
3676,baseline,nearest,0_4,2.03
3675,baseline,nearest,0_4,2.03
12362,baseline,nearest,0_4,1.97
5184,baseline,nearest,0_4,1.97
5183,baseline,nearest,0_4,1.77
5186,baseline,nearest,0_4,0.02
9823,baseline,nearest,0_4,0.26
14120,baseline,nearest,0_4,0.14
13514,baseline,nearest,0_4,0.61
4274,baseline,nearest,0_4,0.28
4277,baseline,nearest,0_4,0.14
11622,baseline,nearest,0_4,0.1
4992,baseline,nearest,0_4,0.02
4995,baseline,nearest,0_4,3.48
4182,baseline,nearest,0_4,0.01
11786,baseline,nearest,0_4,1.51
5145,baseline,nearest,0_4,2.2
6934,baseline,nearest,0_4,3.41
14798,baseline,nearest,0_4,0.09
3581,baseline,nearest,0_4,0.01
3580,baseline,nearest,0_4,0.01
11788,baseline,nearest,0_4,0.96
5729,baseline,nearest,0_4,0.07
5097,baseline,nearest,0_4,60.26
5096,baseline,nearest,0_4,59.21
12002,baseline,nearest,0_4,57.03
5092,baseline,nearest,0_4,55.78
5093,baseline,nearest,0_4,52.07
5089,baseline,nearest,0_4,51.04
3679,baseline,nearest,0_4,34.89
3677,baseline,nearest,0_4,32.9
12055,baseline,nearest,0_4,31.58
12058,baseline,nearest,0_4,31.36
5087,baseline,nearest,0_4,29.35
5086,baseline,nearest,0_4,24.36
10389,baseline,nearest,0_4,22.03
11874,baseline,nearest,0_4,22.03
5083,baseline,nearest,0_4,21.92
5084,baseline,nearest,0_4,20.18
1593,baseline,nearest,0_4,19.02
1594,baseline,nearest,0_4,17.44
5080,baseline,nearest,0_4,14.97
5079,baseline,nearest,0_4,6.57
13421,baseline,nearest,0_4,6.07
5078,baseline,nearest,0_4,5.58
4357,baseline,nearest,0_4,4.47
12777,baseline,nearest,0_4,0.24
6338,baseline,nearest,0_4,3.0
6337,baseline,nearest,0_4,0.37
6339,baseline,nearest,0_4,0.07
3020,baseline,nearest,0_4,0.44
3018,baseline,nearest,0_4,0.34
14296,baseline,nearest,0_4,0.13
3017,baseline,nearest,0_4,0.13
12496,baseline,nearest,0_4,0.07
5030,baseline,nearest,0_4,0.65
3105,baseline,nearest,0_4,0.32
1591,baseline,nearest,0_4,0.82
2943,baseline,nearest,0_4,1.86
12348,baseline,nearest,0_4,1.0
3083,baseline,nearest,0_4,1.72
12993,baseline,nearest,0_4,0.37
2729,baseline,nearest,0_4,0.98
12497,baseline,nearest,0_4,0.02
14258,baseline,nearest,0_4,1.37
11932,baseline,nearest,0_4,1.37
11934,baseline,nearest,0_4,0.34
11937,baseline,nearest,0_4,0.34
11933,baseline,nearest,0_4,1.03
4356,baseline,nearest,0_4,1.03
3252,baseline,nearest,0_4,0.68
12994,baseline,nearest,0_4,0.2
13841,baseline,nearest,0_4,0.17
2516,baseline,nearest,0_4,1.72
2515,baseline,nearest,0_4,0.2
6504,baseline,nearest,0_4,0.07
2732,baseline,nearest,0_4,0.71
4203,baseline,nearest,0_4,0.23
11935,baseline,nearest,0_4,0.52
3251,baseline,nearest,0_4,0.17
2513,baseline,nearest,0_4,0.74
3693,baseline,nearest,0_4,32.3
3688,baseline,nearest,0_4,31.8
3689,baseline,nearest,0_4,31.44
12214,baseline,nearest,0_4,30.84
11940,baseline,nearest,0_4,30.84
11941,baseline,nearest,0_4,30.49
3685,baseline,nearest,0_4,29.53
3686,baseline,nearest,0_4,25.67
8712,baseline,nearest,0_4,5.49
8719,baseline,nearest,0_4,4.63
8714,baseline,nearest,0_4,4.28
8713,baseline,nearest,0_4,3.08
5865,baseline,nearest,0_4,1.25
6220,baseline,nearest,0_4,0.7
