Name ,Address,Number_of_Expected_Units
Carraway Residential Phase II ,115 Chapel Point Road,124
1701 North ,1701 Martin Luther Kind Jr. Blvd,6
200 South Elliot (Aura South Elliot),200 S. Elliot Road ,330
Overlook at the Cedars ,207 and 209 Meadowmont Lane ,10
2510 Homestead,2510 Homestead Road ,53
271 Erwin ,271 Erwin Toad ,20
701 MLK Jr Blvd Residential,701 Martin Luther King Jr. Blvd,200
860 Weaver Dairy Road,860 Weaver Diary Road,710
2200- Homestead Rd (Affordable Housing),2200 Homestead Road,92
Aura Chapel Hill (1000 MLK Jr Blvd),1000 Martin Luther King Jr. Blvd ,418
Aura Blue Hill ,1289 Fordham Boulevard ,285
Chapel Hill Crossing ,5500 Old Chapel Hill Road,334
Columbia Street Annex ,1150 S Columbia Street,52
East Lakeview ,5640 Old Chapel Hill Road ,86
Flintrock Knoll ,1609 US 15 501,160
Glen Lennox ,5 Hamilton Rd.,1391
Grand Alexander Ct Major Subdivision,121 and 130 Grand Alexander Ct,8
Hillmont-Stancell Dr. ,146 Stancell Dr,468
Hillside Trace ,607-617 Martin Luther King Jr. Blvd,190
Jay Street Affordable Housing ,110 Jay Street,48
Lightbridge Project,1165 Weaver Dairy Road ,12
Link Apartments Rosemary,101 E Rosemary St,150
Longleaf Trace,1708 - 1712 Legion Road ,60
Meridian Lakeview,19 East Lakeview Drive,388
N Estes Townhomes,710 N Estes Drive,95
Old Chapel Hill Road Apartments,11 White Oak Drive ,400
Park Apartments Phase 2,119 Bennett Way,260
Peach Apartments,107 Johnson Street ,10
Summit Place Townhomes,101-110 Erwin Road,52
Stanat's Place,2516 Homestead Road,47
South Creek ,4511 S Columbia Street ,798
St Paul Village,1604 Purefoy Drive,350
Summit at Homestead (Homestead Road Tri-Point),2217 Homestead Road,119
The Reserve at Blue Hill ,1320 Ephesus Church Road,212
Trinity Court ,751 Trinity Court ,54
