project,jurisdiction,total_units_remaining,students_elementary,students_middle,students_high,address,lat,lon
Jade Creek,Carrboro,72,19,13,12,8522 Old NC 86,35.951935,-79.108433
Newbury,Carrboro,36,11,7,6,902 Homestead Rd,35.941818,-79.092672
Weavers Grove,Chapel Hill,243,44,18,20,7516 Sunrise Rd,35.967161,-79.034616
Park Apartments,Chapel Hill,259,28,10,13,119 Bennett Way,35.933302,-79.021887
Trinity Court Affordable Housing,Chapel Hill,54,7,3,4,751 Trinity Court,35.9197,-79.063352
Columbia Street Annex,Chapel Hill,59,9,3,3,1150 S Columbia Street,35.894908,-79.059195
101-111 Erwin Road,Chapel Hill,52,21,10,9,101 Erwin Road,35.943086,-79.018741
710 N Estes Townhomes,Chapel Hill,107,21,10,9,710 N Estes Drive,35.935217,-79.048241
Stanat's Place,Chapel Hill,47,12,4,4,2516 Homestead Road,35.951529,-79.064775
Aura Blue Hill,Chapel Hill,301,21,8,11,1289 Fordham Boulevard,35.934088,-79.023087
Aura Chapel Hill,Chapel Hill,418,52,18,22,1000 Martin Luther King Jr. Blvd,35.933403,-79.055691
Chapel Hill Crossing,Chapel Hill,314,35,13,16,5500 Old Chapel Hill Road,35.946115,-78.997608
Gateway,Chapel Hill,316,35,13,16,19 East Lakeview Drive,35.946362,-79.003376
Jay St Apartments,Chapel Hill,48,5,2,2,110 Jay Street,35.918299,-79.066534
Hillmont,Chapel Hill,466,51,19,23,146 Stancell Dr,35.901616,-79.004743
South Creek,Chapel Hill,269,32,12,14,4511 S Columbia Street,35.907558,-79.052807
Homestead Gardens,Chapel Hill,92,13,5,5,2200 Homestead Road,35.951813,-79.070399
Tri-Point,Chapel Hill,119,24,8,8,2217 Homestead Road,35.951648,-79.069178
Tarheel Lodging,Chapel Hill,283,31,11,14,6121 Farrington Road,35.909745,-78.983608
Millennium Chapel Hill,Chapel Hill,274,30,11,14,1301 Fordham Blvd,35.93264,-79.024097
South Creek Phase I,Chapel Hill,92,10,4,5,4511 S Columbia Street,35.907558,-79.052807
