year,school,grade,adm
2015-16,Carrboro Elementary,K,76
2015-16,Carrboro Elementary,1,92
2015-16,Carrboro Elementary,2,72
2015-16,Carrboro Elementary,3,91
2015-16,Carrboro Elementary,4,98
2015-16,Carrboro Elementary,5,71
2015-16,Ephesus Elementary,K,67
2015-16,Ephesus Elementary,1,58
2015-16,Ephesus Elementary,2,86
2015-16,Ephesus Elementary,3,77
2015-16,Ephesus Elementary,4,86
2015-16,Ephesus Elementary,5,64
2015-16,Estes Hills Elementary,K,60
2015-16,Estes Hills Elementary,1,83
2015-16,Estes Hills Elementary,2,82
2015-16,Estes Hills Elementary,3,91
2015-16,Estes Hills Elementary,4,76
2015-16,Estes Hills Elementary,5,88
2015-16,FPG Elementary,K,117
2015-16,FPG Elementary,1,85
2015-16,FPG Elementary,2,124
2015-16,FPG Elementary,3,84
2015-16,FPG Elementary,4,72
2015-16,FPG Elementary,5,51
2015-16,Glenwood Elementary,K,85
2015-16,Glenwood Elementary,1,90
2015-16,Glenwood Elementary,2,96
2015-16,Glenwood Elementary,3,60
2015-16,Glenwood Elementary,4,57
2015-16,Glenwood Elementary,5,61
2015-16,McDougle Elementary,K,86
2015-16,McDougle Elementary,1,82
2015-16,McDougle Elementary,2,81
2015-16,McDougle Elementary,3,68
2015-16,McDougle Elementary,4,89
2015-16,McDougle Elementary,5,97
2015-16,Morris Grove Elementary,K,81
2015-16,Morris Grove Elementary,1,84
2015-16,Morris Grove Elementary,2,101
2015-16,Morris Grove Elementary,3,83
2015-16,Morris Grove Elementary,4,100
2015-16,Morris Grove Elementary,5,102
2015-16,Northside Elementary,K,63
2015-16,Northside Elementary,1,77
2015-16,Northside Elementary,2,75
2015-16,Northside Elementary,3,87
2015-16,Northside Elementary,4,90
2015-16,Northside Elementary,5,89
2015-16,Rashkis Elementary,K,89
2015-16,Rashkis Elementary,1,67
2015-16,Rashkis Elementary,2,82
2015-16,Rashkis Elementary,3,101
2015-16,Rashkis Elementary,4,95
2015-16,Rashkis Elementary,5,82
2015-16,Scroggs Elementary,K,61
2015-16,Scroggs Elementary,1,75
2015-16,Scroggs Elementary,2,106
2015-16,Scroggs Elementary,3,79
2015-16,Scroggs Elementary,4,84
2015-16,Scroggs Elementary,5,105
2015-16,Seawell Elementary,K,58
2015-16,Seawell Elementary,1,76
2015-16,Seawell Elementary,2,66
2015-16,Seawell Elementary,3,108
2015-16,Seawell Elementary,4,106
2015-16,Seawell Elementary,5,109
2016-17,Carrboro Elementary,K,80
2016-17,Carrboro Elementary,1,84
2016-17,Carrboro Elementary,2,87
2016-17,Carrboro Elementary,3,69
2016-17,Carrboro Elementary,4,88
2016-17,Carrboro Elementary,5,93
2016-17,Ephesus Elementary,K,47
2016-17,Ephesus Elementary,1,61
2016-17,Ephesus Elementary,2,55
2016-17,Ephesus Elementary,3,87
2016-17,Ephesus Elementary,4,66
2016-17,Ephesus Elementary,5,80
2016-17,Estes Hills Elementary,K,73
2016-17,Estes Hills Elementary,1,64
2016-17,Estes Hills Elementary,2,85
2016-17,Estes Hills Elementary,3,86
2016-17,Estes Hills Elementary,4,100
2016-17,Estes Hills Elementary,5,81
2016-17,FPG Elementary,K,108
2016-17,FPG Elementary,1,116
2016-17,FPG Elementary,2,84
2016-17,FPG Elementary,3,120
2016-17,FPG Elementary,4,80
2016-17,FPG Elementary,5,70
2016-17,Glenwood Elementary,K,100
2016-17,Glenwood Elementary,1,89
2016-17,Glenwood Elementary,2,93
2016-17,Glenwood Elementary,3,94
2016-17,Glenwood Elementary,4,55
2016-17,Glenwood Elementary,5,52
2016-17,McDougle Elementary,K,79
2016-17,McDougle Elementary,1,98
2016-17,McDougle Elementary,2,90
2016-17,McDougle Elementary,3,87
2016-17,McDougle Elementary,4,72
2016-17,McDougle Elementary,5,85
2016-17,Morris Grove Elementary,K,79
2016-17,Morris Grove Elementary,1,92
2016-17,Morris Grove Elementary,2,83
2016-17,Morris Grove Elementary,3,110
2016-17,Morris Grove Elementary,4,88
2016-17,Morris Grove Elementary,5,93
2016-17,Northside Elementary,K,65
2016-17,Northside Elementary,1,68
2016-17,Northside Elementary,2,83
2016-17,Northside Elementary,3,83
2016-17,Northside Elementary,4,91
2016-17,Northside Elementary,5,94
2016-17,Rashkis Elementary,K,75
2016-17,Rashkis Elementary,1,81
2016-17,Rashkis Elementary,2,66
2016-17,Rashkis Elementary,3,88
2016-17,Rashkis Elementary,4,98
2016-17,Rashkis Elementary,5,94
2016-17,Scroggs Elementary,K,85
2016-17,Scroggs Elementary,1,71
2016-17,Scroggs Elementary,2,77
2016-17,Scroggs Elementary,3,108
2016-17,Scroggs Elementary,4,86
2016-17,Scroggs Elementary,5,81
2016-17,Seawell Elementary,K,65
2016-17,Seawell Elementary,1,73
2016-17,Seawell Elementary,2,86
2016-17,Seawell Elementary,3,75
2016-17,Seawell Elementary,4,124
2016-17,Seawell Elementary,5,126
2017-18,Carrboro Elementary,K,82
2017-18,Carrboro Elementary,1,78
2017-18,Carrboro Elementary,2,84
2017-18,Carrboro Elementary,3,85
2017-18,Carrboro Elementary,4,69
2017-18,Carrboro Elementary,5,88
2017-18,Ephesus Elementary,K,62
2017-18,Ephesus Elementary,1,54
2017-18,Ephesus Elementary,2,63
2017-18,Ephesus Elementary,3,68
2017-18,Ephesus Elementary,4,82
2017-18,Ephesus Elementary,5,67
2017-18,Estes Hills Elementary,K,63
2017-18,Estes Hills Elementary,1,77
2017-18,Estes Hills Elementary,2,58
2017-18,Estes Hills Elementary,3,93
2017-18,Estes Hills Elementary,4,99
2017-18,Estes Hills Elementary,5,101
2017-18,FPG Elementary,K,114
2017-18,FPG Elementary,1,111
2017-18,FPG Elementary,2,104
2017-18,FPG Elementary,3,84
2017-18,FPG Elementary,4,112
2017-18,FPG Elementary,5,75
2017-18,Glenwood Elementary,K,105
2017-18,Glenwood Elementary,1,95
2017-18,Glenwood Elementary,2,91
2017-18,Glenwood Elementary,3,79
2017-18,Glenwood Elementary,4,83
2017-18,Glenwood Elementary,5,57
2017-18,McDougle Elementary,K,86
2017-18,McDougle Elementary,1,80
2017-18,McDougle Elementary,2,102
2017-18,McDougle Elementary,3,98
2017-18,McDougle Elementary,4,91
2017-18,McDougle Elementary,5,69
2017-18,Morris Grove Elementary,K,67
2017-18,Morris Grove Elementary,1,89
2017-18,Morris Grove Elementary,2,94
2017-18,Morris Grove Elementary,3,91
2017-18,Morris Grove Elementary,4,113
2017-18,Morris Grove Elementary,5,87
2017-18,Northside Elementary,K,54
2017-18,Northside Elementary,1,68
2017-18,Northside Elementary,2,70
2017-18,Northside Elementary,3,92
2017-18,Northside Elementary,4,79
2017-18,Northside Elementary,5,89
2017-18,Rashkis Elementary,K,60
2017-18,Rashkis Elementary,1,78
2017-18,Rashkis Elementary,2,94
2017-18,Rashkis Elementary,3,75
2017-18,Rashkis Elementary,4,84
2017-18,Rashkis Elementary,5,84
2017-18,Scroggs Elementary,K,57
2017-18,Scroggs Elementary,1,85
2017-18,Scroggs Elementary,2,76
2017-18,Scroggs Elementary,3,73
2017-18,Scroggs Elementary,4,101
2017-18,Scroggs Elementary,5,100
2017-18,Seawell Elementary,K,72
2017-18,Seawell Elementary,1,80
2017-18,Seawell Elementary,2,70
2017-18,Seawell Elementary,3,86
2017-18,Seawell Elementary,4,99
2017-18,Seawell Elementary,5,135
2018-19,Carrboro Elementary,K,86
2018-19,Carrboro Elementary,1,87
2018-19,Carrboro Elementary,2,84
2018-19,Carrboro Elementary,3,82
2018-19,Carrboro Elementary,4,85
2018-19,Carrboro Elementary,5,65
2018-19,Ephesus Elementary,K,71
2018-19,Ephesus Elementary,1,78
2018-19,Ephesus Elementary,2,54
2018-19,Ephesus Elementary,3,78
2018-19,Ephesus Elementary,4,75
2018-19,Ephesus Elementary,5,86
2018-19,Estes Hills Elementary,K,62
2018-19,Estes Hills Elementary,1,63
2018-19,Estes Hills Elementary,2,82
2018-19,Estes Hills Elementary,3,67
2018-19,Estes Hills Elementary,4,94
2018-19,Estes Hills Elementary,5,106
2018-19,FPG Elementary,K,104
2018-19,FPG Elementary,1,118
2018-19,FPG Elementary,2,110
2018-19,FPG Elementary,3,101
2018-19,FPG Elementary,4,78
2018-19,FPG Elementary,5,103
2018-19,Glenwood Elementary,K,92
2018-19,Glenwood Elementary,1,80
2018-19,Glenwood Elementary,2,88
2018-19,Glenwood Elementary,3,84
2018-19,Glenwood Elementary,4,68
2018-19,Glenwood Elementary,5,77
2018-19,McDougle Elementary,K,87
2018-19,McDougle Elementary,1,82
2018-19,McDougle Elementary,2,77
2018-19,McDougle Elementary,3,98
2018-19,McDougle Elementary,4,103
2018-19,McDougle Elementary,5,94
2018-19,Morris Grove Elementary,K,87
2018-19,Morris Grove Elementary,1,70
2018-19,Morris Grove Elementary,2,100
2018-19,Morris Grove Elementary,3,93
2018-19,Morris Grove Elementary,4,97
2018-19,Morris Grove Elementary,5,106
2018-19,Northside Elementary,K,48
2018-19,Northside Elementary,1,58
2018-19,Northside Elementary,2,74
2018-19,Northside Elementary,3,74
2018-19,Northside Elementary,4,101
2018-19,Northside Elementary,5,84
2018-19,Rashkis Elementary,K,75
2018-19,Rashkis Elementary,1,66
2018-19,Rashkis Elementary,2,81
2018-19,Rashkis Elementary,3,85
2018-19,Rashkis Elementary,4,69
2018-19,Rashkis Elementary,5,80
2018-19,Scroggs Elementary,K,72
2018-19,Scroggs Elementary,1,57
2018-19,Scroggs Elementary,2,86
2018-19,Scroggs Elementary,3,84
2018-19,Scroggs Elementary,4,76
2018-19,Scroggs Elementary,5,98
2018-19,Seawell Elementary,K,70
2018-19,Seawell Elementary,1,67
2018-19,Seawell Elementary,2,81
2018-19,Seawell Elementary,3,65
2018-19,Seawell Elementary,4,110
2018-19,Seawell Elementary,5,109
2019-20,Carrboro Elementary,K,86
2019-20,Carrboro Elementary,1,84
2019-20,Carrboro Elementary,2,84
2019-20,Carrboro Elementary,3,86
2019-20,Carrboro Elementary,4,84
2019-20,Carrboro Elementary,5,89
2019-20,Ephesus Elementary,K,69
2019-20,Ephesus Elementary,1,65
2019-20,Ephesus Elementary,2,64
2019-20,Ephesus Elementary,3,52
2019-20,Ephesus Elementary,4,68
2019-20,Ephesus Elementary,5,72
2019-20,Estes Hills Elementary,K,67
2019-20,Estes Hills Elementary,1,58
2019-20,Estes Hills Elementary,2,62
2019-20,Estes Hills Elementary,3,75
2019-20,Estes Hills Elementary,4,75
2019-20,Estes Hills Elementary,5,93
2019-20,FPG Elementary,K,91
2019-20,FPG Elementary,1,103
2019-20,FPG Elementary,2,106
2019-20,FPG Elementary,3,110
2019-20,FPG Elementary,4,95
2019-20,FPG Elementary,5,82
2019-20,Glenwood Elementary,K,83
2019-20,Glenwood Elementary,1,82
2019-20,Glenwood Elementary,2,77
2019-20,Glenwood Elementary,3,80
2019-20,Glenwood Elementary,4,77
2019-20,Glenwood Elementary,5,59
2019-20,McDougle Elementary,K,92
2019-20,McDougle Elementary,1,89
2019-20,McDougle Elementary,2,87
2019-20,McDougle Elementary,3,78
2019-20,McDougle Elementary,4,101
2019-20,McDougle Elementary,5,104
2019-20,Morris Grove Elementary,K,85
2019-20,Morris Grove Elementary,1,87
2019-20,Morris Grove Elementary,2,77
2019-20,Morris Grove Elementary,3,100
2019-20,Morris Grove Elementary,4,94
2019-20,Morris Grove Elementary,5,98
2019-20,Northside Elementary,K,65
2019-20,Northside Elementary,1,64
2019-20,Northside Elementary,2,63
2019-20,Northside Elementary,3,92
2019-20,Northside Elementary,4,74
2019-20,Northside Elementary,5,94
2019-20,Rashkis Elementary,K,77
2019-20,Rashkis Elementary,1,89
2019-20,Rashkis Elementary,2,73
2019-20,Rashkis Elementary,3,87
2019-20,Rashkis Elementary,4,82
2019-20,Rashkis Elementary,5,75
2019-20,Scroggs Elementary,K,66
2019-20,Scroggs Elementary,1,73
2019-20,Scroggs Elementary,2,51
2019-20,Scroggs Elementary,3,89
2019-20,Scroggs Elementary,4,75
2019-20,Scroggs Elementary,5,69
2019-20,Seawell Elementary,K,66
2019-20,Seawell Elementary,1,71
2019-20,Seawell Elementary,2,77
2019-20,Seawell Elementary,3,85
2019-20,Seawell Elementary,4,105
2019-20,Seawell Elementary,5,121
2020-21,Carrboro Elementary,K,67
2020-21,Carrboro Elementary,1,83
2020-21,Carrboro Elementary,2,83
2020-21,Carrboro Elementary,3,80
2020-21,Carrboro Elementary,4,84
2020-21,Carrboro Elementary,5,84
2020-21,Ephesus Elementary,K,41
2020-21,Ephesus Elementary,1,67
2020-21,Ephesus Elementary,2,65
2020-21,Ephesus Elementary,3,61
2020-21,Ephesus Elementary,4,44
2020-21,Ephesus Elementary,5,71
2020-21,Estes Hills Elementary,K,56
2020-21,Estes Hills Elementary,1,65
2020-21,Estes Hills Elementary,2,64
2020-21,Estes Hills Elementary,3,59
2020-21,Estes Hills Elementary,4,78
2020-21,Estes Hills Elementary,5,70
2020-21,FPG Elementary,K,94
2020-21,FPG Elementary,1,83
2020-21,FPG Elementary,2,93
2020-21,FPG Elementary,3,96
2020-21,FPG Elementary,4,102
2020-21,FPG Elementary,5,95
2020-21,Glenwood Elementary,K,80
2020-21,Glenwood Elementary,1,78
2020-21,Glenwood Elementary,2,73
2020-21,Glenwood Elementary,3,78
2020-21,Glenwood Elementary,4,61
2020-21,Glenwood Elementary,5,69
2020-21,McDougle Elementary,K,53
2020-21,McDougle Elementary,1,91
2020-21,McDougle Elementary,2,84
2020-21,McDougle Elementary,3,92
2020-21,McDougle Elementary,4,79
2020-21,McDougle Elementary,5,99
2020-21,Morris Grove Elementary,K,56
2020-21,Morris Grove Elementary,1,82
2020-21,Morris Grove Elementary,2,81
2020-21,Morris Grove Elementary,3,76
2020-21,Morris Grove Elementary,4,93
2020-21,Morris Grove Elementary,5,99
2020-21,Northside Elementary,K,62
2020-21,Northside Elementary,1,63
2020-21,Northside Elementary,2,56
2020-21,Northside Elementary,3,63
2020-21,Northside Elementary,4,86
2020-21,Northside Elementary,5,74
2020-21,Rashkis Elementary,K,74
2020-21,Rashkis Elementary,1,77
2020-21,Rashkis Elementary,2,71
2020-21,Rashkis Elementary,3,63
2020-21,Rashkis Elementary,4,74
2020-21,Rashkis Elementary,5,89
2020-21,Scroggs Elementary,K,65
2020-21,Scroggs Elementary,1,64
2020-21,Scroggs Elementary,2,73
2020-21,Scroggs Elementary,3,54
2020-21,Scroggs Elementary,4,77
2020-21,Scroggs Elementary,5,75
2020-21,Seawell Elementary,K,53
2020-21,Seawell Elementary,1,55
2020-21,Seawell Elementary,2,58
2020-21,Seawell Elementary,3,67
2020-21,Seawell Elementary,4,135
2020-21,Seawell Elementary,5,101
2021-22,Carrboro Elementary,K,87
2021-22,Carrboro Elementary,1,80
2021-22,Carrboro Elementary,2,79
2021-22,Carrboro Elementary,3,90
2021-22,Carrboro Elementary,4,77
2021-22,Carrboro Elementary,5,80
2021-22,Ephesus Elementary,K,45
2021-22,Ephesus Elementary,1,52
2021-22,Ephesus Elementary,2,69
2021-22,Ephesus Elementary,3,71
2021-22,Ephesus Elementary,4,55
2021-22,Ephesus Elementary,5,45
2021-22,Estes Hills Elementary,K,40
2021-22,Estes Hills Elementary,1,49
2021-22,Estes Hills Elementary,2,63
2021-22,Estes Hills Elementary,3,65
2021-22,Estes Hills Elementary,4,53
2021-22,Estes Hills Elementary,5,79
2021-22,FPG Elementary,K,81
2021-22,FPG Elementary,1,90
2021-22,FPG Elementary,2,74
2021-22,FPG Elementary,3,80
2021-22,FPG Elementary,4,86
2021-22,FPG Elementary,5,95
2021-22,Glenwood Elementary,K,74
2021-22,Glenwood Elementary,1,72
2021-22,Glenwood Elementary,2,74
2021-22,Glenwood Elementary,3,72
2021-22,Glenwood Elementary,4,70
2021-22,Glenwood Elementary,5,59
2021-22,McDougle Elementary,K,64
2021-22,McDougle Elementary,1,62
2021-22,McDougle Elementary,2,97
2021-22,McDougle Elementary,3,76
2021-22,McDougle Elementary,4,81
2021-22,McDougle Elementary,5,78
2021-22,Morris Grove Elementary,K,53
2021-22,Morris Grove Elementary,1,65
2021-22,Morris Grove Elementary,2,95
2021-22,Morris Grove Elementary,3,86
2021-22,Morris Grove Elementary,4,67
2021-22,Morris Grove Elementary,5,94
2021-22,Northside Elementary,K,48
2021-22,Northside Elementary,1,69
2021-22,Northside Elementary,2,58
2021-22,Northside Elementary,3,62
2021-22,Northside Elementary,4,62
2021-22,Northside Elementary,5,81
2021-22,Rashkis Elementary,K,51
2021-22,Rashkis Elementary,1,80
2021-22,Rashkis Elementary,2,66
2021-22,Rashkis Elementary,3,80
2021-22,Rashkis Elementary,4,61
2021-22,Rashkis Elementary,5,75
2021-22,Scroggs Elementary,K,59
2021-22,Scroggs Elementary,1,74
2021-22,Scroggs Elementary,2,58
2021-22,Scroggs Elementary,3,72
2021-22,Scroggs Elementary,4,52
2021-22,Scroggs Elementary,5,75
2021-22,Seawell Elementary,K,63
2021-22,Seawell Elementary,1,58
2021-22,Seawell Elementary,2,69
2021-22,Seawell Elementary,3,58
2021-22,Seawell Elementary,4,124
2021-22,Seawell Elementary,5,133
2022-23,Carrboro Elementary,K,80
2022-23,Carrboro Elementary,1,82
2022-23,Carrboro Elementary,2,79
2022-23,Carrboro Elementary,3,86
2022-23,Carrboro Elementary,4,80
2022-23,Carrboro Elementary,5,77
2022-23,Ephesus Elementary,K,54
2022-23,Ephesus Elementary,1,51
2022-23,Ephesus Elementary,2,51
2022-23,Ephesus Elementary,3,76
2022-23,Ephesus Elementary,4,69
2022-23,Ephesus Elementary,5,51
2022-23,Estes Hills Elementary,K,50
2022-23,Estes Hills Elementary,1,44
2022-23,Estes Hills Elementary,2,50
2022-23,Estes Hills Elementary,3,67
2022-23,Estes Hills Elementary,4,63
2022-23,Estes Hills Elementary,5,56
2022-23,FPG Elementary,K,79
2022-23,FPG Elementary,1,88
2022-23,FPG Elementary,2,93
2022-23,FPG Elementary,3,77
2022-23,FPG Elementary,4,83
2022-23,FPG Elementary,5,89
2022-23,Glenwood Elementary,K,75
2022-23,Glenwood Elementary,1,75
